Publication number,Title,Publication date,Inventors,country_name,Title_language,country_code,Applicants,Family number,ABSTRACT
CN105543182A,Recombinant oncolytic bovine vaccine virus carrying microRNA-101 and drug composition of recombinant oncolytic bovine vaccine virus,04/05/2016,MOU XIAOZHOU  WANG SHIBING  WANG HUIJU,China,en,CN,ZHEJIANG PROVINCIAL PEOPLE'S HOSPITAL,55822740,recombinant oncolytic bovine vaccine virus carrying microrna drug composition recombinant oncolytic bovine vaccine virus
CN116768984A,Preparation method and application of bovine nodular skin disease virus recombinant P32 protein,19/09/2023,WANG JINGLIN  LI NAN  HE YUWEN  MENG JINXIN  YANG ZHENXING  LI SUSHENG,China,en,CN,YUNNAN ANIMAL SCI & VETERINARY INST,87995797,preparation method application bovine nodular skin disease virus recombinant p protein
DE4339922C1,Vector for gene therapy of the liver,06/10/1994,STRAUSS MICHAEL DR [DE]  SANDIG VOLKER DR [DE]  HOFMANN CHRISTIAN [DE],Germany,en,DE,MAX PLANCK GESELLSCHAFT [DE],6496785,vector gene therapy liver
CN101812130A  CN101812130B,Humanized neutralizing antibody (RVFab5) against rabies virus glycoprotein,2010-08-25  2012-07-04,ZHE CHEN  CHUAN LI  DEXIN LI  MIFANG LIANG  LINA SUN,China,en,CN,INST VIRAL DISEASE CONTROL AND PREVENTIVE CHINESE CT OF FOR DISEASE CONTROL AND PREVENTION  INST VIRAL DISEASE CONTROL & PREVENTION CHINESE CT DISEASE CONTROL & PREVENTION,42619508,humanized neutralizing antibody rvfab rabies virus glycoprotein
CN110240634A  CN110240634B,Avian influenza virus-like particle antigen and preparation method and application thereof,2019-09-17  2022-09-06,TIAN KEGONG  WANG TONGYAN  ZHANG PANTAO  SUN JINZHONG  ZHANG XUKE,China,en,CN,PULIKE BIOLOGICAL ENG INC,67882672,avian influenza viruslike particle antigen preparation method application thereof
US2021189338A1,Method of Manufacturing Dual Specific T-Cells for Use in Cancer Immunotherapy,24/06/2021,CUI WEIGUO [US],United States of America,en,US,VERSITI BLOOD RES INSTITUTE FOUNDATION INC [US],59091148,method manufacturing dual specific tcells use cancer immunotherapy
EP1621612A1,"COMPLETE EMPTY VIRAL PARTICLES OF INFECTIOUS BURSAL DISEASE VIRUS (IBDV), PRODUCTION METHOD THEREOF AND APPLICATIONS OF SAME",01/02/2006,RODRIGUEZ AGUIRRE JOSE FRANCIS [ES]  GONZALES DE LLANO DOLORES [ES]  ONA BLANCO ANA MARIA [ES]  ABAITUA ELUSTONDO FERNANDO [ES]  MARAVER MOLINA ANTONIO [ES]  CLEMENTE CERVERA ROBERTO [ES]  RUIZ CASTON JOSE [ES]  RODRIGUEZ FERNANDEZ-ALBA JUAN [ES],European Patent Office (EPO),de,EP,CONSEJO SUPERIOR INVESTIGACION [ES]  BIONOSTRA S L [ES],33104264,complete empty viral particles infectious bursal disease virus ibdv production method thereof applications
JP2012219048A  JP5798356B2,NOVEL INFLUENZA VACCINE STABILIZER,2012-11-12  2015-10-21,NISHIMURA TOMOHIRO,Japan,en,JP,CHEMO-SERO-THERAPEUTIC RES INST,47270946,novel influenza vaccine stabilizer
EP2044948A1  EP2044948B1,Vaccinia viruses for use in treating cancer,2009-04-08  2013-10-30,KIRN DAVID [US]  THORNE STEVE H [US],European Patent Office (EPO),en,EP,JENNEREX BIOTHERAPEUTICS ULC [US],31715904,vaccinia viruses use treating cancer
EP1742668A2  EP1742668B1,SEQUENTIAL DELIVERY OF IMMUNOGENIC MOLECULES VIA ADENOVIRUS AND ADENO-ASSOCIATED VIRUS-MEDIATED ADMINISTRATIONS,2007-01-17  2011-02-09,WILSON JAMES M [US],European Patent Office (EPO),de,EP,UNIV PENNSYLVANIA [US],36603667,sequential delivery immunogenic molecules via adenovirus adenoassociated virusmediated administrations
WO9947691A1,COMPOSITIONS AND METHODS FOR HELPER-FREE PRODUCTION OF RECOMBINANT ADENO-ASSOCIATED VIRUSES,23/09/1999,GAO GUANG-PING [US]  WILSON JAMES M [US],World Intellectual Property Organization (WIPO),de,WO,UNIV PENNSYLVANIA [US]  GAO GUANG PING [US]  WILSON JAMES M [US],22146942,compositions methods helperfree production recombinant adenoassociated viruses
CN106085969A,Recombinant baculovirus with surface displaying porcine epidemic diarrhea virus S protein,09/11/2016,CHEN JIAN  SHI CUIPING  SHU JIANHONG  CHEN QIN  YANG FANG,China,en,CN,HANGZHOU HONGSHENG BIOTECHNOLOGY CO LTD,57229373,recombinant baculovirus surface displaying porcine epidemic diarrhea virus protein
CN113969267A  CN113969267B,Porcine reproductive and respiratory syndrome mutant virus as well as construction method and application thereof,2022-01-25  2024-02-27,HAN JUN  GAO PENG  YANG HANCHUN  LIU YUANYUAN  ZHANG YONGNING  ZHOU LEI  GE XINNA  GUO XIN,China,en,CN,UNIV CHINA AGRICULTURAL,79589920,porcine reproductive respiratory syndrome mutant virus well construction method application thereof
WO2018107614A1,USE OF LUTEOLIN IN PREPARATION OF MEDICAMENT FOR PREVENTING AND TREATING DENGUE VIRUS INFECTION,21/06/2018,LI GENG [CN]  PENG MINHUA [CN]  WU JIANGUO [CN]  SUBHASH G  VASUDEVAN [SG]  SATORU WATANABE [SG]  LAI XIAOPING [CN],World Intellectual Property Organization (WIPO),de,WO,DONGGUAN MATHEMATICAL ENGINEERING ACADEMY OF CHINESE MEDICINE GUANGZHOU UNIV OF CHINESE MEDICINE [CN],58936374,use luteolin preparation medicament preventing treating dengue virus infection
WO2007095320A2  WO2007095320A3  WO2007095320A4,"HPV ANTIGENS, VACCINE COMPOSITIONS, AND RELATED METHODS",2007-08-23  2007-10-25  2014-12-24,YUSIBOV VIDADI [US]  METT VADIM [US],World Intellectual Property Organization (WIPO),de,WO,FRAUNHOFER USA INC [US]  YUSIBOV VIDADI [US]  METT VADIM [US],38372130,hpv antigens vaccine compositions related methods
CN111548395A,Foot-and-mouth disease virus bivalent multi-epitope recombinant virus-like particle and application thereof,18/08/2020,CHANG HUIYUN  LEI YAO  SHAO JUNJUN  CHANG YANYAN,China,en,CN,LANZHOU VETERINARY RES INST CAAS,71996979,footandmouth disease virus bivalent multiepitope recombinant viruslike particle application thereof
CN116019905A,"African swine fever virus subunit vaccine composition, African swine fever virus protein antigen composition and application",28/04/2023,TIAN KEGONG  PANG WENQIANG  ZHANG XUKE,China,en,CN,PU LIKE BIO ENG CO LTD,86080018,african swine fever virus subunit vaccine composition african swine fever virus protein antigen composition application
EP1414994A2  EP1414994B1  EP1414994B9,VACCINIA VIRUS FOR DIAGNOSIS AND THERAPY OF TUMORS,2004-05-06  2007-10-10  2008-11-12,SZALAY ALADAR A [DE]  YU YONG A [US]  SHABAHANG SHAHROKH [US]  TIMIRYASOVA TATYANA [US],European Patent Office (EPO),de,EP,GENELUX GMBH [DE]  GENELUX CORP [US],26076668,vaccinia virus diagnosis therapy tumors
EP1809325A2  EP1809325A4  EP1809325B1,VACCINES AGAINST JAPANESE ENCEPHALITIS VIRUS,2007-07-25  2009-07-22  2013-11-20,GUIRAKHOO FARSHAD [US]  LIU JIAN [US]  CATALAN JOHN A [US]  MONATH THOMAS P [US]  PUGACHEV KONSTANTIN V [US],European Patent Office (EPO),de,EP,ACAMBIS INC [US]  SANOFI PASTEUR BIOLOGICS LLC [US],36203650,vaccines japanese encephalitis virus
WO9707400A1,REAGENT FOR EXAMINING AGGLUTINATION OF VIRUS AND KIT FOR VIRUS EXAMINATION,27/02/1997,FUJII TAKERU [JP]  YOKOYAMA HIDEAKIRA [JP]  HAMAMOTO HIDETOSHI [JP],World Intellectual Property Organization (WIPO),de,WO,TEIKOKU SEIYAKU KK [JP]  FUJII TAKERU [JP]  YOKOYAMA HIDEAKIRA [JP]  HAMAMOTO HIDETOSHI [JP],16618958,reagent examining agglutination virus kit virus examination
CN112553380A,Method for rapidly detecting 12 respiratory viruses by using multiplex PCR technology and application thereof,26/03/2021,LIU ZHIYAN  GUO FANG  LIU ZHEN  ZHENG QINGSONG,China,en,CN,HARBIN NEBULA MEDICAL LABORATORY CO LTD,75035096,method rapidly detecting respiratory viruses using multiplex pcr technology application thereof
CN108635380A,Recombinant oncolytic virus composition and application thereof in preparing medicines for treating tumors,12/10/2018,TIAN CHAO  LI XIAOPENG  SUN CHUNYANG  ZHOU HUA  LIU JIAJIA  ZHAO JINGSHU,China,en,CN,BEIJING WEIYUAN LIKANG BIOTECHNOLOGY CO LTD,63746043,recombinant oncolytic virus composition application thereof preparing medicines treating tumors
JP3195799B2  JPH0638765A,"DNA FRAGMENT CAPABLE OF CODING NON-A, NON-B HEPATITIS VIRUS STRUCTURAL PROTEIN",1994-02-15  2001-08-06,MAKI NOBORU  YAMAGUCHI KENJIRO  TOYOSHIMA AYUMI  OBARA MICHINORI,Japan,de,JP,TONEN CORP,18522402,dna fragment capable coding nona nonb hepatitis virus structural protein
RU2720518C1,STRAIN OF SINDBIS FEVER VIRUS 1383 CLONE 3,30/04/2020,URYVAEV LEONID VIKTOROVICH [RU]  BELYAEV ALEKSEJ MIKHAJLOVICH [RU]  IONOVA KIRA SERGEEVNA [RU]  PARASYUK NADEZHDA ARTEMOVNA [RU]  DEDOVA ANNA VLADIMIROVNA [RU]  LEBEDEV ANDREJ YUREVICH [RU]  VORKUNOVA GALINA KONSTANTINOVNA [RU],Russia,de,RU,FEDERALNOE GOSUDARSTVENNOE BYUDZHETNOE UCHREZHDENIE NATSIONALNYJ ISSLEDOVATELSKIJ TSENTR EPIDEMIOLOG [RU],70553117,strain sindbis fever virus clone
EP2227483A1  EP2227483A4  EP2227483B1,SOLUBLE FORMS OF HENDRA AND NIPAH VIRUS F GLYCOPROTEIN AND USES THEREOF,2010-09-15  2011-12-28  2017-04-19,CHAN YEE-PENG [US]  BRODER CHRISTOPHER [US],European Patent Office (EPO),de,EP,JACKSON H M FOUND MILITARY MED [US]  HENRY M JACKSON FOUND ADVANCEMENT MILITARY MEDICINE INC [US],41091195,soluble forms hendra nipah virus f glycoprotein uses thereof
CN101497891A,Novel recombinant viral vector and use thereof,05/08/2009,GUO JUN [CN]  YUNXIA TANG [CN]  JUNYUN LIU [CN]  JIN LI [CN]  HUA QIN [CN]  XIANGJUN ZHOU [CN],China,en,CN,SHENZHEN YUANXING BIOLOGY MEDI [CN],40945163,novel recombinant viral vector use thereof
CN104744590A  CN104744590B,A monoclonal antibody for H1N1 swine influenza A virus hemagglutinin protein and a double-antibody sandwich ELISA kit,2015-07-01  2018-05-18,XIE LIANGZHI  HUANG XU  ZHANG JIE  YAN YAN  SUN CHUNYUN  LUO CHUNXIA  ZHANG JIANDONG  LI DONG,China,en,CN,SHENZHOU CELL ENGINEERING CO LTD,53584911,monoclonal antibody hn swine influenza virus hemagglutinin protein doubleantibody sandwich elisa kit
CN1140626C  CN1263159A,New type simple herpesvirus amplicon carrier system and its application,2000-08-16  2004-03-03,CAO HUI [CN]  WU XIAOBING [CN]  HOU YUNDE [CN],China,en,CN,BEIJING DONGKANGLONG VIRUS BIO [CN]  BENYUAN ZHENGYANG GENE TECHNOL [CN],5282275,new type simple herpesvirus amplicon carrier system application
FR2606281A1  FR2606281B1,ANTIGENE DU VIRUS DE L'HEPATITE B ET PROCEDE POUR SA PRODUCTION,1988-05-13  1990-10-12,TAKAMIZAWA AKIHISA  AKIHISA TAKAMIZAWA  FUJITA HIROYUKI  HIROYUKI FUJITA  MANABE SADAO  SADAO MANABE  KATO MASAHIKO  MASAHIKO KATO  OSAME JUICHIRO  JUICHIRO OSAME  YOSHIDA IWAO  IWAO YOSHIDA  KONOBE TAKEO  TAKEO KONOBE  TAKAKU KEISUKE  KEISUKE TAKAKU,France,de,FR,UNIV OSAKA RES FOUND [JP]  UNIV OSAKA RES FOUND,15338168,antigene du virus de lhepatite b et procede pour sa production
CN106086012A,In-vitro preparation method of linear double-chain adeno-associated virus genome,09/11/2016,QIU JIANPING  JI YI  ZHOU SONGFENG  LI TIEJUN  ZHU YUANYUAN,China,en,CN,BIOMICS BIOTECHNOLOGIES CO LTD,57252255,invitro preparation method linear doublechain adenoassociated virus genome
WO2019028530A1,ANTIBODY TO EPSTEIN BARR VIRUS AND USES THEREOF,14/02/2019,KHANNA RAJIV [AU]  HUA KRISTINE [AU],World Intellectual Property Organization (WIPO),de,WO,COUNCIL QUEENSLAND INST MEDICAL RES [AU],65273042,antibody epstein barr virus uses thereof
CN110527669A  CN110527669B,"Porcine pseudorabies virus gene deleted strain, as well as construction method and application thereof",2019-12-03  2021-07-06,LI LING  ZHANG TONG  WU DONGXUN  MA LIANG  LI JING  WANG FEI  XIANG WANGZHEN  ZHANG XIN  ZHANG GUODONG  XIAO JIN  HUANG SHULIN  XU LEI  QI PENG,China,en,CN,CHINA ANIMAL HUSBANDRY IND CO LTD,68667392,porcine pseudorabies virus gene deleted strain well construction method application thereof
WO9621024A1,PAPAYA RINGSPOT VIRUS REPLICASE GENE,11/07/1996,MCMASTER J RUSSELL [US]  BOESHORE MAURY L [US]  TRICOLI DAVID M [US]  REYNOLDS JOHN F [US]  CARNEY KIM J [US],World Intellectual Property Organization (WIPO),de,WO,ASGROW SEED CO [US]  MCMASTER J RUSSELL [US]  BOESHORE MAURY L [US]  TRICOLI DAVID M [US]  REYNOLDS JOHN F [US]  CARNEY KIM J [US],23444955,papaya ringspot virus replicase gene
RU2347812C1,SYNTHETIC OLIGONUCLEOTIDE PRIMERS AND METHOD OF EXPOSING RNA VIRUS OF MUCOSAL DISEASE IN MUCUS OF CATTLE USING SPECIFIC OLIGONUCLEOTIDE PRIMERS IN POLYMERASE CHAIN REACTION WITH SIMULTANEOUS DIFFERENTIATION OF VIRUS STRAINS TO 1 AND 2 GENOTYPES,27/02/2009,GLOTOV ALEKSANDR GAVRILOVICH [RU]  GLOTOVA TAT JANA IVANOVNA [RU]  NEFEDCHENKO ALEKSEJ VASIL EVICH [RU],Russia,de,RU,G NAUCHNOE UCHREZHDENIE I EHKS [RU],40529836,synthetic oligonucleotide primers method exposing rna virus mucosal disease mucus cattle using specific oligonucleotide primers polymerase chain reaction simultaneous differentiation virus strains genotypes
CN115806945A,Genetically engineered murine cytomegalovirus derived tool virus as well as preparation method and application thereof,17/03/2023,LUO MINHUA  YANG BO  ZHOU YUEPENG  YAO YONGXUAN  MEI MENGJIE  WU JINPENG  PAUL ZENG,China,en,CN,WUHAN INST VIROLOGY CAS,85486370,genetically engineered murine cytomegalovirus derived tool virus well preparation method application thereof
CN103320529A  CN103320529B,Primer pair and probe for detecting avian influenza virus in sample by fluorescence RT-PCR and kit containing primer pair and probe,2013-09-25  2015-01-21,WEI MING  QIU QINGFENG  ZHANG HONGBIN  CHEN MIANQIAO  SU ZUMIAO,China,en,CN,SHENZHEN TAITAI GENE ENGINEERING CO LTD,49189569,primer pair probe detecting avian influenza virus sample fluorescence rtpcr kit containing primer pair probe
CN101979514A  CN101979514B,Virus and vaccine of porcine reproductive and respiratory syndrome and preparation method of same,2011-02-23  2012-02-29,XUKE ZHANG  JINZHONG SUN  RONGCEN QIAO,China,en,CN,LUOYANG PU LINK BIO ENGINEERING CO LTD,42715632,virus vaccine porcine reproductive respiratory syndrome preparation method
CN1139656C  CN1272538A,Quick high-effective separation and purification method of virus related to rocombinant adenovirus and its application,2000-11-08  2004-02-25,WU XIAOBING [CN]  DONG XIAOYAN [CN]  HOU YUNDE [CN],China,en,CN,BEIJING DONGKANGLONG VIRUS BIO [CN]  BENYUAN ZHENGYANG GENE TECHNOL [CN],5282936,quick higheffective separation purification method virus related rocombinant adenovirus application
CN104873967A,O type foot and mouth disease virus-like particle vaccine as well as preparation method and application thereof,02/09/2015,GUO LI  YANG YONG  YANG YANLING  SUN NA  CHENG SHIPENG  REN JINGQIANG  XI NA  LI JIAWEI  LIU YING  LIN PENG  NING HAORAN,China,en,CN,INST SPECIAL ANIMAL & PLANT SCIENCES CAAS,53941818,type foot mouth disease viruslike particle vaccine well preparation method application thereof
EP1382343A1  EP1382343B1,Combination therapy to treat hepatitis B virus,2004-01-21  2010-02-17,FURMAN PHILLIP A [US]  PAINTER GEORGE R [US]  BARRY DAVID [US]  ROUSSEAU FRANCK [US],European Patent Office (EPO),en,EP,TRIANGLE PHARMACEUTICALS INC [US]  GILEAD SCIENCES INC [US],22312611,combination therapy treat hepatitis b virus
CN113913462A,Recombinant adenovirus for expressing African swine fever virus EP153R protein and construction method thereof,11/01/2022,ZHU HONGFEI  JIA HONG  XIN TING  GUO XIAOYU  YUAN WEIFENG  CUI SHUAI  WANG YANG,China,en,CN,INST ANIMAL SCIENCES CAAS,79248433,recombinant adenovirus expressing african swine fever virus epr protein construction method thereof
CN101372707A  CN101372707B,T lymphocyte for screening and activating dormant infection HIV-1 compound and preparation thereof,2009-02-25  2011-02-16,HUANZHANG ZHU [CN]  QINGTING XIN [CN]  SHAOHUI LIU [CN]  LISHA TANG [CN]  LONG YU [CN]  LONG YU  HUANZHANG ZHU  QINGTING XIN  SHAOHUI LIU  LISHA TANG,China,en,CN,UNIV FUDAN [CN]  UNIV FUDAN,40447084,lymphocyte screening activating dormant infection hiv compound preparation thereof
CN102440185A  CN102440185B,Fast culturing method for lily virus-free seed ball,2012-05-09  2015-05-27,XIANGYUN ZHAO  CHUNCHENG WANG  SHUDONG WANG  JIA XU  KAI YANG  LIQING AN  ZHAO XIANGYUN  WANG CHUNCHENG  WANG SHUDONG  XU JIA  YANG KAI  AN LIQING,China,en,CN,XIANGYUN ZHAO  CHUNCHENG WANG  SHUDONG WANG  ZHAO XIANGYUN  WANG CHUNCHENG  WANG SHUDONG,46003513,fast culturing method lily virusfree seed ball
CN103705979A  CN103705979B,"Functional tissue engineering material for nerve repair, preparation method and use thereof",2014-04-09  2016-10-05,ZHANG JIANNING  QIAN YANGMING  TIAN LILI  LIU SHUANG,China,en,CN,PLA NAVY GENERAL HOSIPTAL,50399558,functional tissue engineering material nerve repair preparation method use thereof
CN116287469A,"Primer probe combination, kit and detection method for simultaneously detecting foot and mouth disease virus and peste des petits ruminants virus",23/06/2023,YANG YIPING  MA CHUNJIANG  YANG FAN  YANG KANG  FANG XIANZHEN  YAN RUOQIAN  GULIBAHA KADEL  ZHANG WANQI,China,en,CN,HAMI ANIMAL DISEASE PREVENTION AND CONTROL CENTER,86779855,primer probe combination kit detection method simultaneously detecting foot mouth disease virus peste des petits ruminants virus
CN111363728A,"Recombinant influenza A virus carrying hepatitis B virus gene, host cell, preparation method for recombinant influenza A virus and application of recombinant influenza A virus",03/07/2020,ZHU YING  HUANG YU  SHE YINGLONG  LIU SHI,China,en,CN,UNIV WUHAN,71204228,recombinant influenza virus carrying hepatitis b virus gene host cell preparation method recombinant influenza virus application recombinant influenza virus
CN103571797A  CN103571797B,"Hog cholera cell adaptive virus, hog cholera virus live vaccine prepared from hog cholera cell adaptive virus, and preparation method of hog cholera virus live vaccine",2014-02-12  2016-08-24,ZHANG XUKE  SUN JINZHONG  BAI CHAOYONG,China,en,CN,PU LIKE BIO ENG CO LTD,50044512,hog cholera cell adaptive virus hog cholera virus live vaccine prepared hog cholera cell adaptive virus preparation method hog cholera virus live vaccine
WO0214527A2  WO0214527A3,GP64-NULL BACULOVIRUSES PSEUDOTYPED WITH HETEROLOGOUS ENVELOPE PROTEINS,2002-02-21  2003-04-24,BLISSARD GARY  MANGOR JODIE  MONSMA SCOTT,World Intellectual Property Organization (WIPO),de,WO,THOMPSON BOYCE PLANT RES [US],22841411,gpnull baculoviruses pseudotyped heterologous envelope proteins
CN100376293C  CN1820790A,Method for preparing biological degradable tissue engineering rack material,2006-08-23  2008-03-26,FAN DAIDI MA [CN]  DAIDI FAN [CN]  XIAOXUAN MA [CN]  YU MI [CN]  JUNFENG HUI [CN]  CHENHUI ZHU [CN],China,en,CN,UNIV NORTHWEST [CN],36922459,method preparing biological degradable tissue engineering rack material
CN112546038A,Application of myricetin in preparing medicine for preventing or treating coronavirus and influenza virus,26/03/2021,LIU LIANG  PAN HUDAN  YANG ZIFENG  YAO XIAOJUN  LI RUNFENG,China,en,CN,UNIV MACAU SCI & TECH,75043946,application myricetin preparing medicine preventing treating coronavirus influenza virus
CN103320526A  CN103320526B,Primer pair and probe for detecting avian influenza virus in sample by fluorescent RT-PCR and kit containing primer pair and probe,2013-09-25  2015-06-24,WEI MING  CHEN MIANQIAO  ZHANG HONGBIN  QIU QINGFENG  SU ZUMIAO,China,en,CN,SHENZHEN TAITAI GENE ENGINEERING CO LTD,49189566,primer pair probe detecting avian influenza virus sample fluorescent rtpcr kit containing primer pair probe
CN103320528A  CN103320528B,Primer pair and probe for detecting avian influenza virus in sample by fluorescence RT-PCR and kit containing primer pair and probe,2013-09-25  2014-12-10,WEI MING  QIU QINGFENG  CHEN MIANQIAO  ZHANG HONGBIN  SU ZUMIAO,China,en,CN,SHENZHEN TAITAI GENE ENGINEERING CO LTD,49189568,primer pair probe detecting avian influenza virus sample fluorescence rtpcr kit containing primer pair probe
